PredictionString,image_id
1 0.49137875 170.87338 71.42941 252.59396 160.72678 8 0.9999378 176.63802 235.67738 465.67145 477.12988 8 0.22351158 169.86708 74.161835 252.71523 162.2861 10 0.49630895 174.43202 70.423676 249.12889 160.36566 ,batch_01_vt/0021.jpg
0 0.053683747 60.81347 6.0381927 186.59354 264.95367 1 0.6496398 0.0 241.8166 300.7522 456.13348 2 0.07767188 0.0 236.83109 303.3905 454.88565 6 0.07544962 161.57433 99.12887 473.6671 251.73438 8 0.9994962 280.57892 185.70837 488.9041 434.33862 8 0.99718577 164.08057 58.90396 466.5155 251.35336 8 0.9875195 457.47998 348.04733 511.72833 438.55966 8 0.9513603 6.213928 235.37396 299.3425 460.52332 8 0.08644844 298.09586 173.04562 481.0538 333.11655 8 0.07702801 257.28748 96.749725 468.14978 187.55173 8 0.05736144 254.0604 93.857124 476.3699 310.1365 10 0.05921336 80.55634 8.83638 171.49689 272.56763 ,batch_01_vt/0028.jpg
1 0.9926225 60.98178 171.16524 378.05536 384.7589 8 0.31815088 70.86841 173.24124 365.13248 387.74985 ,batch_01_vt/0031.jpg
2 0.89812994 288.97296 157.6805 365.56445 238.15141 7 0.05465286 289.87573 159.6463 364.58173 239.0386 8 0.99755305 35.73044 133.16602 402.42117 381.1446 8 0.05648275 264.81247 146.5934 379.17477 258.958 ,batch_01_vt/0032.jpg
1 0.99772435 386.65393 267.84387 493.84003 344.4806 1 0.1296931 58.31424 426.80594 236.7384 512.0 1 0.08878233 361.92807 172.10655 493.4681 308.3078 1 0.076018825 4.4502525 144.37482 65.77997 317.35245 1 0.06978432 454.05832 205.42244 512.0 285.3263 1 0.05966353 161.01227 373.31543 184.35452 414.49475 1 0.059056118 367.40512 229.73116 512.0 343.69464 1 0.052893944 44.05471 147.86607 63.863297 222.30965 2 0.99726117 354.90955 158.84619 502.6388 296.02393 2 0.9588367 454.76804 208.20903 511.18637 280.6504 2 0.89625555 63.5252 434.53754 230.41891 512.0 2 0.4492966 314.1154 248.18217 415.89127 295.77936 2 0.31042212 0.33450127 485.9382 22.47549 512.0 2 0.1734972 74.99619 384.9699 266.32526 512.0 2 0.08482526 161.04721 373.782 184.64322 412.491 2 0.06953036 0.0 459.0625 125.23053 512.0 2 0.06505939 150.27643 359.9886 341.23395 498.19562 2 0.064548954 435.45386 190.73624 493.64508 285.50717 2 0.056825094 460.46844 209.29639 483.45782 260.98212 6 0.99694127 172.4118 294.08057 286.10693 377.60522 6 0.7311778 230.05193 270.9392 383.9472 373.21484 6 0.5905332 291.66782 1.9862576 313.4435 27.152306 6 0.4986141 201.05943 278.63812 253.45155 304.37073 6 0.18370387 270.24805 334.05484 286.06543 356.88882 6 0.100509115 194.97789 299.3912 270.4823 361.80618 6 0.080253586 155.6547 359.06027 351.92264 493.72903 6 0.05181619 273.61627 338.33374 296.3213 358.5605 7 0.98175114 0.6932125 88.24176 54.10125 132.51062 7 0.121409036 239.82257 268.85104 381.45868 374.29068 7 0.092770465 2.5046272 134.63159 39.54114 212.16516 8 0.9999684 41.511414 59.703453 187.02812 220.48273 8 0.9998894 146.30038 0.0 355.62216 217.1049 8 0.99873275 288.7087 141.02692 358.42307 224.43164 8 0.9971323 149.86243 356.0124 351.2956 499.65356 8 0.9962224 0.7915039 260.1102 214.4288 483.04782 8 0.70288354 239.20563 267.39398 380.9666 375.41675 8 0.6594613 0.503582 148.4176 66.96164 327.59235 8 0.3578157 291.36505 2.101344 313.1073 26.968025 8 0.33809572 59.426094 370.83972 311.90906 512.0 8 0.29557863 352.1043 297.27905 382.22858 321.50928 8 0.25599557 2.7034035 131.26251 39.083603 212.6128 8 0.25027582 0.0 268.68185 381.42975 512.0 8 0.21493575 155.72185 274.4713 376.88538 418.0736 8 0.18957114 68.375626 433.8357 222.73729 509.87952 8 0.14697975 161.16592 374.00882 184.43289 411.97702 8 0.1356744 168.93982 382.82678 307.1526 480.36523 8 0.09896747 161.37805 289.0306 286.32452 393.55515 8 0.078650855 18.443817 405.7822 254.1373 504.97787 8 0.06274932 341.3038 294.8708 391.63583 324.49097 ,batch_01_vt/0070.jpg
1 0.17843302 401.36133 269.53262 493.6286 297.4327 1 0.16697054 79.56966 219.35556 109.61719 240.06879 1 0.07054802 73.80236 234.42708 104.44218 250.19469 2 0.17157099 75.80453 221.83669 110.76977 241.21474 2 0.16799103 73.5501 234.20566 104.283134 250.38715 2 0.07068428 294.39462 213.17206 352.49838 253.25598 6 0.07584446 290.46606 220.38007 314.81622 239.90121 6 0.061366174 283.91397 215.12247 348.34317 257.77078 8 0.99998486 262.8808 195.03055 408.5133 349.55838 8 0.99994135 50.239285 234.34198 169.13759 299.53296 8 0.9999118 122.90055 250.32607 278.5874 362.8996 8 0.9989427 114.41196 157.99 266.819 268.0714 8 0.8808222 401.78934 268.2674 495.6403 301.5266 8 0.6152484 259.54907 184.39313 331.67316 217.75592 8 0.37408948 298.80423 214.941 350.40195 249.97752 8 0.31874716 111.918144 200.7991 275.41376 304.77383 8 0.28899056 71.752304 237.43742 103.30696 251.123 8 0.18478219 268.38306 204.44476 381.40582 290.30896 8 0.12407857 73.63154 228.62645 106.23318 249.42714 8 0.12187864 279.48972 216.59944 351.44168 266.5651 8 0.060657393 75.790955 221.6133 110.39412 241.21953 ,batch_01_vt/0076.jpg
1 0.5054366 288.02176 316.69806 348.58725 334.82928 1 0.21094109 407.58325 226.88602 462.63153 269.4349 1 0.052015487 252.29384 218.85992 305.62833 249.20691 2 0.9156045 378.25583 173.0581 405.8143 200.98135 2 0.8841597 310.54602 165.02618 414.1552 200.38287 2 0.65910393 405.67993 227.23593 465.48602 269.66446 2 0.5384322 285.80563 315.8716 349.85446 336.36258 2 0.34165823 399.18756 180.22092 422.38794 201.37418 2 0.13604534 341.41162 172.44345 424.0381 202.14014 2 0.10115488 395.26 177.1637 412.7965 201.52155 2 0.067313485 297.75027 122.94556 414.30313 210.1289 2 0.05542194 328.80783 172.31776 393.09293 195.79482 2 0.05039776 319.4626 164.98685 395.15448 188.2294 6 0.23745641 215.34787 243.99472 295.0368 306.02322 6 0.15756467 185.60901 203.85081 273.76776 249.08461 6 0.1028995 271.8259 314.23724 355.27707 338.64954 6 0.098779805 273.35425 393.36063 326.21277 412.00565 6 0.06204143 176.74487 197.00966 224.21158 235.91545 6 0.059695184 251.61194 219.40572 306.0056 249.3524 6 0.05168609 184.45993 234.323 303.17212 322.86768 8 0.9998678 381.52307 0.0 512.0 113.6215 8 0.99982566 100.598976 120.80984 210.6076 268.8365 8 0.9995363 396.76242 403.30646 510.77914 510.48505 8 0.999458 204.35849 315.11084 431.27463 473.8252 8 0.9993118 193.63223 83.18275 288.49335 219.65088 8 0.99911326 340.36526 271.09946 473.30197 411.07114 8 0.9987961 295.50427 173.99336 436.6643 289.3662 8 0.9984647 463.2925 346.26465 509.58633 414.9635 8 0.99766916 116.20501 206.60818 301.17584 328.3331 8 0.9974868 425.15118 147.44392 511.6703 249.15944 8 0.99506086 398.90613 107.71456 506.63885 186.61203 8 0.99322975 438.73865 200.57922 510.79858 359.06018 8 0.97056144 292.63354 271.20285 388.74548 315.57004 8 0.92265695 183.50536 200.86203 277.5899 249.66772 8 0.8584896 434.46054 351.26666 473.11978 413.09753 8 0.829595 422.8232 127.614716 509.4056 341.2025 8 0.82814085 297.8627 110.89273 416.34836 207.42096 8 0.70266044 251.02141 218.70667 305.74774 249.80502 8 0.5614151 216.88348 324.75693 360.59705 408.31094 8 0.4913828 174.61186 197.14398 226.60335 235.3027 8 0.37211886 407.09167 225.18889 462.61908 269.48068 8 0.23186006 289.47552 82.200356 425.64105 296.93674 8 0.21764073 311.0252 154.66766 408.7132 199.9878 8 0.20577821 403.50122 81.82397 511.67517 265.08777 8 0.19997752 109.69206 114.949196 297.39954 285.36935 8 0.16220628 281.9573 313.74353 353.67245 337.67072 8 0.15510854 153.14049 193.15627 294.477 274.2806 8 0.14639013 394.16632 218.43951 492.43512 273.84088 8 0.14432487 393.70715 31.283035 510.3938 189.05829 8 0.119307 272.92767 392.2472 327.6045 412.6659 8 0.10013017 201.92567 212.86343 315.78113 251.19556 8 0.09586845 286.30612 185.61272 312.45578 218.19978 8 0.09196524 275.0306 326.7976 461.22202 418.0274 8 0.08818924 304.82816 182.20157 325.98068 206.69208 8 0.08730833 376.5177 444.0426 402.45312 469.94702 8 0.07827905 290.36603 246.06596 397.36743 327.44342 8 0.06742553 260.06903 342.4485 354.581 403.79883 8 0.054430664 411.15506 225.24701 507.91537 472.74463 8 0.050104987 356.25098 391.16934 399.79456 412.4266 ,batch_01_vt/0078.jpg
1 0.9985789 217.92036 193.5489 262.38333 271.61023 1 0.1987774 108.68776 242.85818 266.9124 328.47397 4 0.07515056 94.17847 248.0826 283.17734 331.953 6 0.91127676 101.39753 247.28282 269.98645 330.20795 ,batch_01_vt/0096.jpg
1 0.91842616 399.82742 215.5169 424.3264 231.1636 1 0.91805106 11.468447 173.79338 55.20878 192.25398 1 0.9126859 355.34702 216.69475 485.00412 377.13513 1 0.49817634 325.64145 287.46762 427.5256 367.5804 1 0.26564157 312.33023 260.63312 460.37503 374.4555 1 0.069132715 409.0057 218.24959 423.1456 236.26079 1 0.066364735 262.41644 343.8544 280.2309 377.94113 1 0.06473934 318.41986 227.77995 368.30646 263.03635 2 0.18538086 325.5852 288.60107 431.14203 366.48022 2 0.06816889 264.21317 343.67783 279.87784 376.45248 2 0.05869005 270.303 308.81592 396.1425 398.55298 3 0.05256612 325.16632 289.7178 429.04553 367.54837 4 0.08810444 326.18277 288.58514 430.76395 368.98108 6 0.93525577 276.9977 324.36646 338.54282 382.2052 6 0.15145259 288.7214 339.20334 368.72757 385.0463 6 0.14592399 262.00085 344.11346 280.4085 378.3888 6 0.13941427 345.8914 358.76767 376.2922 382.86575 6 0.10836118 318.91977 345.91922 345.9836 382.10605 6 0.09128186 325.96912 289.05713 411.73297 376.2439 6 0.073759556 279.02545 325.41855 306.63074 381.73636 6 0.072854914 309.51495 337.6091 339.61084 374.89517 6 0.055085454 346.11136 346.93036 374.7999 370.93793 7 0.15657288 8.127693 173.05266 56.322296 197.41216 8 0.9998286 2.9532623 282.6552 239.07042 512.0 8 0.9996779 33.62391 237.92535 187.64285 344.7273 8 0.9993561 131.31 279.9199 295.58838 454.11484 8 0.99893504 268.9319 313.57565 438.17474 467.62057 8 0.9964233 1.8923912 239.9866 74.84593 326.04276 8 0.9902642 0.5094261 177.25229 61.16436 264.71576 8 0.9057776 318.08374 227.79462 372.59015 265.64807 8 0.87519294 178.5639 281.42334 298.88116 332.3974 8 0.7925681 322.93622 229.79997 479.32715 393.88367 8 0.7522857 279.67578 287.94144 442.69238 380.30807 8 0.46001503 5.4843197 184.32864 65.42214 363.08273 8 0.3240729 277.43622 324.09467 342.60602 385.85004 8 0.23367232 264.5041 301.4309 401.16132 408.42206 8 0.17723362 265.86237 286.71808 381.97113 327.48425 8 0.13397855 323.2926 286.1135 404.30676 378.5143 8 0.100908786 233.7956 286.3283 292.06555 328.82367 8 0.07435813 11.446487 249.74397 213.3009 388.25342 8 0.06704737 159.18622 279.1122 290.06473 369.97348 8 0.058532394 317.38986 322.98676 338.54404 340.4511 8 0.05523202 7.4379253 173.30087 56.83094 198.66208 8 0.050415702 7.361084 310.18607 185.41399 408.4243 ,batch_01_vt/0101.jpg
0 0.2143493 469.01578 339.58047 512.0 410.2081 0 0.21390319 70.28879 3.4232483 437.99313 67.439156 0 0.1027707 115.80079 265.3317 295.6399 397.6755 0 0.073089905 147.16112 132.59875 265.0063 169.52069 1 0.7350003 153.07512 132.39522 263.41675 170.20186 1 0.19137068 10.269943 162.25688 378.28033 490.18518 1 0.18778013 85.82765 5.818573 427.89307 63.23832 1 0.10688064 128.60236 261.55658 287.19888 393.85956 1 0.05904464 384.26654 117.157326 502.27362 311.95148 1 0.056948133 199.77274 137.18927 259.66324 168.22577 2 0.08223715 125.49477 263.56635 291.91962 394.89325 6 0.2581368 121.40453 269.79413 291.132 391.779 6 0.21218647 7.6786957 176.40787 448.03754 493.30435 6 0.10393536 446.94894 471.33862 512.0 511.08893 6 0.06414761 101.473564 259.75708 221.84747 383.63843 7 0.22060637 140.36224 254.66982 270.19083 399.51416 7 0.084056 5.3316193 219.97113 377.31268 496.27118 7 0.06907947 98.11932 255.75891 228.05273 385.20026 8 0.92054355 0.0 92.777435 479.13446 512.0 8 0.8336698 10.171478 120.006424 346.97482 354.62592 8 0.41059685 91.57608 1.7409077 416.7627 65.55968 8 0.18113703 469.64493 344.71652 512.0 408.90604 8 0.06210707 86.91779 255.75146 282.95624 358.96533 10 0.40051752 469.21786 345.04495 512.0 405.9962 10 0.14946476 90.76538 4.216755 418.46915 63.296017 10 0.080270715 151.43388 132.04155 263.02145 170.09398 10 0.063532084 7.162781 74.108734 479.50876 509.82248 ,batch_01_vt/0122.jpg
