PredictionString,image_id
1 0.9908751 164.32166 76.3577 254.76077 165.65286 8 0.99990726 174.12947 233.64056 462.56458 470.22858 ,batch_01_vt/0021.jpg
1 0.9100561 0.6365967 243.98465 306.27902 459.52707 8 0.9984864 159.50769 94.202065 472.46368 257.88287 8 0.99655044 282.50577 167.5316 488.4951 432.88397 8 0.9928311 456.3906 349.04044 511.96036 437.40274 8 0.66508967 0.6252899 244.09769 306.16986 459.52267 8 0.61494684 168.12137 54.733086 341.66327 160.9577 8 0.35961786 239.93535 52.428448 331.5005 104.163284 8 0.08337466 177.73569 53.180107 471.2866 182.29974 ,batch_01_vt/0028.jpg
1 0.99611986 69.5771 169.79712 373.19788 376.18195 ,batch_01_vt/0031.jpg
2 0.56558365 297.37198 159.3998 363.04886 227.42192 8 0.99961346 34.337814 122.481926 392.7049 378.3944 8 0.16082376 33.568954 224.71896 330.99316 376.93448 ,batch_01_vt/0032.jpg
1 0.898671 387.99194 269.44275 497.83258 345.8537 1 0.25953814 357.75903 164.39142 507.4397 298.4863 1 0.101574756 238.07246 391.9975 278.92767 458.2849 1 0.059991207 333.93002 290.35272 419.5648 330.52783 2 0.89132166 357.55676 164.57805 507.18793 297.9563 2 0.8770964 41.428757 424.9847 238.12965 510.95334 2 0.8355223 453.9252 210.34297 511.01505 279.82336 2 0.60774446 0.66361237 454.49536 99.86197 512.0 2 0.33441022 316.59354 245.50797 412.9385 293.13986 2 0.1555369 332.94876 286.9719 418.5986 300.99734 2 0.14546543 29.15065 132.2032 391.82336 276.74817 2 0.12095246 238.07246 391.9975 278.92767 458.2849 2 0.09743657 39.38418 459.68182 74.25332 473.64948 2 0.078601345 10.380371 364.8646 279.93005 512.0 2 0.067113265 0.048727036 457.67926 19.985672 490.65015 6 0.9958652 167.74432 296.5296 290.8993 376.88635 6 0.8773156 201.90887 278.73352 259.56885 313.9195 6 0.85696125 237.82799 265.0431 384.48065 373.03125 6 0.7070563 239.29408 3.9724731 274.41885 76.10166 6 0.13317561 238.02359 392.00424 279.0342 458.2833 6 0.067351915 341.93152 293.4085 400.3813 329.8352 7 0.4650865 0.39093018 87.67204 47.50619 139.05466 7 0.1122494 237.95204 264.9803 384.38745 373.0962 7 0.09257677 29.15065 132.2032 391.82336 276.74817 8 0.9999075 158.28482 349.34995 351.08698 498.8743 8 0.99985707 149.10721 0.0 355.0726 220.3084 8 0.99980336 42.588303 60.30909 186.10165 218.99115 8 0.9977323 1.4753342 257.13132 212.99704 474.89133 8 0.9963559 0.30935287 194.66116 66.80487 316.17404 8 0.86548287 291.2213 0.7310219 315.1718 24.588034 8 0.8360717 338.16632 292.7957 404.48724 329.77835 8 0.78682655 0.0 124.20258 40.738407 216.62482 8 0.41038367 238.10004 264.7287 384.42755 373.19745 8 0.29288214 278.72824 132.30623 357.68906 221.60643 8 0.123743854 10.380371 364.8646 279.93005 512.0 8 0.09134798 77.5406 253.18097 290.20337 279.66437 8 0.066310026 37.80851 421.40402 239.2291 510.95615 8 0.05207237 139.77777 132.08533 380.25018 257.12225 ,batch_01_vt/0070.jpg
1 0.9476182 69.16886 237.73576 105.92072 253.157 1 0.50502497 315.9534 208.71848 362.77158 258.70224 1 0.30418995 79.305435 218.793 113.77612 238.24515 2 0.23471576 80.64645 218.32242 113.69732 237.40356 8 0.99988866 123.781784 247.64108 279.27673 363.05722 8 0.9998388 264.57602 200.16177 407.58298 350.34256 8 0.999782 50.10662 237.0594 167.46545 298.7463 8 0.9994506 114.93118 161.1938 265.3255 267.49222 ,batch_01_vt/0076.jpg
1 0.3367729 323.90323 195.7348 354.07156 216.06674 1 0.16538027 178.13364 198.27708 225.52466 236.13387 1 0.077488236 464.8335 364.25778 506.7077 402.66873 2 0.5763396 329.3193 170.01695 403.34244 199.19936 2 0.23035821 322.60696 158.68924 387.35428 187.37097 2 0.22472952 178.02794 198.24348 226.39452 236.02669 2 0.17349234 286.86276 312.33078 352.59427 342.35025 2 0.13154598 246.04205 219.77551 309.15045 247.45987 2 0.058512922 404.9995 224.75029 458.2342 272.95004 6 0.94751865 221.98431 242.11658 293.96893 305.1134 6 0.2008313 322.04782 156.45506 386.78043 187.80238 6 0.14032646 195.06137 210.27647 252.61569 254.19826 6 0.11941061 230.2132 206.37106 261.45065 220.51028 6 0.062188927 323.11203 166.73251 405.5944 199.11658 6 0.053397823 470.96558 338.34332 487.89246 359.0326 6 0.05065001 300.87064 276.16287 377.21933 314.33133 8 0.99980193 99.24437 120.93506 208.63756 266.31995 8 0.9995491 394.4885 400.58878 510.56375 511.6196 8 0.99924266 191.3341 83.63955 288.0538 215.79504 8 0.9991068 438.00494 198.64322 511.39624 356.95547 8 0.99805945 378.5692 0.3002243 511.5802 191.61374 8 0.9969188 429.56113 148.4772 512.0 245.27448 8 0.9953571 289.6025 167.1802 435.90494 289.2475 8 0.9945391 200.53046 316.06244 411.23267 472.1222 8 0.9938898 337.9949 266.45642 473.80783 417.716 8 0.9880363 123.88324 228.3186 277.99936 326.26782 8 0.9694346 463.0432 358.1169 508.95947 410.98343 8 0.9091506 300.70645 276.39908 377.24136 314.28775 8 0.89599377 404.95074 224.81549 458.16962 272.93445 8 0.88655823 194.77171 210.27274 253.40633 253.92804 8 0.8828821 216.39621 302.35144 287.76212 324.48083 8 0.7951546 438.7552 350.78516 472.1549 410.01 8 0.7073319 178.02159 198.17622 226.58067 236.0902 8 0.6788922 245.99861 219.78915 309.49097 248.21014 8 0.5314734 471.30493 338.44205 488.18207 359.13425 8 0.5180676 320.0674 106.69084 425.95633 202.05736 8 0.27739847 322.04782 156.45506 386.78043 187.80238 8 0.16580555 287.79465 271.9818 314.17233 315.89075 8 0.1641666 359.16953 450.71683 443.9625 511.81534 8 0.15554745 222.04858 242.23679 294.03052 305.13174 8 0.14459485 465.547 354.78934 510.77026 387.31363 8 0.12495308 332.5051 104.33091 405.84213 172.14236 8 0.10968658 318.69757 141.16444 406.63257 193.85335 8 0.08669365 373.85413 494.45978 402.9392 511.3689 8 0.07401037 202.59213 319.7517 355.0646 407.09875 8 0.07129266 285.12665 118.410446 363.22162 222.04445 8 0.06537078 216.55098 302.32355 352.19995 338.37164 ,batch_01_vt/0078.jpg
1 0.88487005 211.7899 196.67628 263.17938 280.20593 6 0.9925902 99.76196 243.99744 275.0781 326.09827 ,batch_01_vt/0096.jpg
1 0.4803065 357.83118 221.46927 485.30365 369.55045 1 0.3654663 397.8342 213.89362 424.95175 232.35858 1 0.30310664 334.02557 290.8547 432.52808 367.67947 1 0.18280825 167.69221 302.41238 243.71434 352.9467 1 0.15428317 179.55646 280.94174 289.78122 359.88162 1 0.0887629 368.98483 306.57516 427.77567 342.92874 1 0.08128179 277.36392 320.89877 347.0698 381.416 2 0.7666848 333.8867 290.87115 432.98416 367.6494 2 0.5757946 167.72063 302.38568 243.73335 352.94653 2 0.094234325 264.101 286.2169 442.43298 469.40512 3 0.113089286 334.36703 291.135 433.3182 366.9823 4 0.102272205 277.488 320.82443 347.05032 381.45078 6 0.7264356 277.32556 320.9456 347.04626 381.40854 6 0.11304383 349.84134 348.68167 374.98172 382.24844 6 0.078368545 274.70212 308.06406 434.50735 380.55716 6 0.07232254 261.7342 341.76538 281.07953 393.29962 6 0.05997907 331.58008 292.41873 433.1277 369.50937 8 0.9997111 0.0 247.47832 239.56256 510.35028 8 0.99969745 0.0 173.00697 59.910843 259.0622 8 0.9995741 37.596832 237.49767 185.3564 349.5101 8 0.99921525 134.35504 280.98267 289.74753 449.02472 8 0.9977356 263.7168 286.70395 442.64294 470.09396 8 0.8768898 357.4768 221.15993 485.7345 369.7019 8 0.86921465 0.42949295 239.84268 71.822266 346.12607 8 0.7998762 314.52734 229.67075 375.4383 261.92517 8 0.5437067 181.58733 277.59473 289.71075 359.1397 8 0.37988862 397.90106 213.88315 424.92908 232.42468 ,batch_01_vt/0101.jpg
1 0.40124884 403.20624 411.70844 511.92737 510.90576 1 0.2061455 0.66259766 129.4743 444.2178 511.39526 1 0.089716315 83.80532 254.05301 306.58905 399.4639 1 0.08351652 466.95624 349.4782 512.0 406.91864 1 0.072913505 439.2317 410.18933 510.81604 423.54144 1 0.06793127 67.07267 147.69284 263.7017 288.1955 2 0.99209267 71.26253 0.76537704 421.71045 65.60689 7 0.06735187 440.93683 462.42474 512.0 512.0 8 0.9791103 0.0 125.62236 446.82617 509.00128 8 0.6905454 466.8397 349.48978 512.0 406.8961 ,batch_01_vt/0122.jpg
